City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
264,port augusta,-32.5,137.7667,17.720000000000027,64,8,3.39,AU,2023-02-04 16:07:56
265,longyearbyen,78.2186,15.6401,-12.089999999999977,72,40,3.6,SJ,2023-02-04 16:07:37
266,bangalore,12.9762,77.6033,20.900000000000038,54,0,4.21,IN,2023-02-04 16:07:29
267,norman wells,65.282,-126.8329,-27.98999999999998,99,93,1.37,CA,2023-02-04 16:06:48
268,yabrud,33.9674,36.6574,1.3799999999999957,73,35,2.94,SY,2023-02-04 16:07:57
269,yazd,31.8972,54.3675,9.060000000000002,34,0,1.03,IR,2023-02-04 16:07:57
270,itarema,-2.9248,-39.9167,29.230000000000015,67,64,6.21,BR,2023-02-04 16:06:59
271,mitsamiouli,-11.3847,43.2844,26.610000000000014,80,100,2.55,KM,2023-02-04 16:07:58
272,saint-joseph,-21.3667,55.6167,26.21000000000004,85,50,5.81,RE,2023-02-04 16:07:58
273,pevek,69.7008,170.3133,-37.03999999999997,100,72,2.49,RU,2023-02-04 16:07:00
274,khorinsk,52.1657,109.7726,-23.129999999999967,97,56,1.12,RU,2023-02-04 16:07:59
275,cidreira,-30.1811,-50.2056,25.980000000000015,65,32,5.77,BR,2023-02-04 16:06:36
